transaction_type,transaction_amount,transaction_date,transaction_note,category,subcategory
Income,313.73,2019-07-17 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,587.51,2019-07-14 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,378.58,2020-05-29 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Expense,710.67,2019-11-01 21:27:32.494381,Transaction for Mutual Funds,Investment,Mutual Funds
Income,848.01,2022-04-01 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,695.04,2021-10-25 21:27:32.494381,Transaction for Childcare,Family,Childcare
Expense,259.62,2023-02-08 21:27:32.494381,Transaction for Childcare,Family,Childcare
Income,124.67,2019-08-26 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,585.66,2019-02-19 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,65.62,2021-07-18 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,54.04,2021-03-23 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,107.72,2023-10-01 21:27:32.494381,Transaction for Alimony,Family,Alimony
Expense,341.69,2023-05-22 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Expense,251.83,2022-05-12 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Income,735.24,2024-01-15 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,292.83,2021-06-13 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,749.97,2023-05-14 21:27:32.494381,Transaction for Supplies,Education,Supplies
Expense,701.29,2021-12-05 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Income,765.03,2020-11-15 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,447.53,2022-01-12 21:27:32.494381,Transaction for Home Insurance,Insurance,Home Insurance
Expense,76.41,2021-04-15 21:27:32.494381,Transaction for Supplies,Education,Supplies
Expense,552.45,2021-09-17 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Income,42.39,2020-05-09 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,359.1,2023-03-28 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,916.6,2021-08-21 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,106.95,2020-11-20 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,271.75,2023-08-19 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Expense,101.55,2019-12-31 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,82.34,2022-02-10 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Income,148.47,2020-09-12 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,819.52,2022-09-15 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,998.19,2020-06-19 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,770.78,2020-03-06 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,601.69,2019-04-06 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Expense,294.25,2021-05-15 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Income,197.23,2020-03-13 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,906.08,2019-06-29 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,787.33,2019-04-22 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Income,478.97,2020-02-16 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,26.42,2022-05-02 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,311.73,2020-01-08 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,210.89,2021-11-19 21:27:32.494381,Transaction for Internet,Bill & Utilities,Internet
Income,775.83,2023-07-30 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,230.24,2021-01-29 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,970.71,2020-02-02 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Expense,597.74,2021-04-09 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Income,44.57,2020-08-18 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,446.42,2019-07-07 21:27:32.494381,Transaction for Water,Bill & Utilities,Water
Expense,146.3,2023-02-24 21:27:32.494381,Transaction for Tuition,Education,Tuition
Expense,222.44,2020-01-22 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Income,518.17,2022-08-07 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,784.46,2020-02-25 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Expense,151.63,2023-11-18 21:27:32.494381,Transaction for Alimony,Family,Alimony
Expense,329.01,2020-06-28 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Income,99.49,2020-07-31 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,224.51,2022-02-08 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Income,226.19,2023-06-05 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,834.59,2020-06-29 21:27:32.494381,Transaction for Mutual Funds,Investment,Mutual Funds
Income,126.14,2020-02-09 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,52.51,2022-03-20 21:27:32.494381,Transaction for Bonds,Investment,Bonds
Expense,862.24,2021-06-29 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,382.11,2021-04-28 21:27:32.494381,Transaction for Tuition,Education,Tuition
Income,479.51,2019-03-10 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,109.64,2020-06-09 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,285.67,2023-10-09 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,887.81,2020-05-28 21:27:32.494381,Transaction for Electronics,Shopping,Electronics
Expense,636.81,2019-11-29 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Expense,996.8,2022-07-11 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Expense,738.34,2023-06-07 21:27:32.494381,Transaction for Events,Entertainment,Events
Expense,836.66,2023-11-24 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Expense,295.69,2020-12-09 21:27:32.494381,Transaction for Events,Entertainment,Events
Expense,150.16,2021-08-17 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,526.19,2021-05-06 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Expense,592.51,2021-08-06 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Income,923.69,2021-10-20 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,762.86,2019-08-23 21:27:32.494381,Transaction for Health Insurance,Insurance,Health Insurance
Income,845.83,2023-09-23 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,131.77,2022-07-18 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,105.48,2022-04-15 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,388.21,2020-11-24 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,866.52,2020-10-10 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,622.91,2020-08-14 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,50.59,2019-03-21 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,513.84,2022-04-11 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,742.23,2023-05-20 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,836.54,2023-11-07 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,811.5,2020-02-20 21:27:32.494381,Transaction for Events,Entertainment,Events
Expense,487.64,2019-04-26 21:27:32.494381,Transaction for Events,Entertainment,Events
Expense,241.99,2022-02-03 21:27:32.494381,Transaction for Mutual Funds,Investment,Mutual Funds
Expense,342.95,2021-09-10 21:27:32.494381,Transaction for Loan Interest,Pay Interest,Loan Interest
Expense,104.39,2021-12-19 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Expense,333.28,2021-06-01 21:27:32.494381,Transaction for Water,Bill & Utilities,Water
Income,936.13,2019-11-08 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,811.18,2023-08-14 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,738.06,2023-07-01 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,271.5,2022-09-20 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Income,445.48,2020-01-07 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,520.12,2019-10-14 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,222.46,2020-12-12 21:27:32.494381,Transaction for Home Goods,Shopping,Home Goods
Expense,327.91,2023-08-17 21:27:32.494381,Transaction for Childcare,Family,Childcare
Expense,994.33,2019-04-19 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Expense,357.43,2021-12-03 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Income,781.99,2020-06-29 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,479.96,2023-07-21 21:27:32.494381,Transaction for Mutual Funds,Investment,Mutual Funds
Income,395.78,2021-07-02 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,502.5,2022-12-13 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,362.37,2020-07-04 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Income,876.79,2022-03-10 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,357.3,2019-10-03 21:27:32.494381,Transaction for Tuition,Education,Tuition
Income,379.52,2021-03-06 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,267.57,2021-10-30 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,73.85,2020-10-08 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,789.75,2020-06-03 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,182.22,2020-08-20 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Expense,44.14,2020-07-14 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Expense,953.11,2019-04-12 21:27:32.494381,Transaction for Tuition,Education,Tuition
Expense,204.34,2022-02-20 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,823.67,2023-06-19 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,799.62,2021-07-27 21:27:32.494381,Transaction for Credit Card Interest,Pay Interest,Credit Card Interest
Income,121.24,2021-05-07 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,239.59,2023-03-11 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,669.71,2023-06-14 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,373.19,2019-10-19 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,783.16,2022-04-21 21:27:32.494381,Transaction for Restaurants,Food and Beverage,Restaurants
Income,984.12,2021-02-03 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,263.36,2021-05-31 21:27:32.494381,Transaction for Books,Education,Books
Income,443.53,2020-05-29 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,905.3,2020-07-15 21:27:32.494381,Transaction for Bonds,Investment,Bonds
Income,346.83,2023-07-29 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,863.53,2019-02-12 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,142.3,2019-05-20 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,556.34,2019-09-11 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,949.71,2020-12-14 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Expense,822.08,2022-01-08 21:27:32.494381,Transaction for Alimony,Family,Alimony
Income,72.62,2019-07-30 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,80.59,2023-02-04 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,369.45,2019-05-27 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Income,463.49,2022-01-15 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,235.23,2021-02-28 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Expense,535.93,2022-01-29 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Income,373.19,2021-06-23 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,809.82,2021-10-06 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Income,640.09,2019-07-11 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,59.66,2019-06-29 21:27:32.494381,Transaction for Supplies,Education,Supplies
Income,340.94,2024-01-16 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,943.6,2022-01-26 21:27:32.494381,Transaction for Commission,Salary,Commission
Expense,909.52,2021-10-09 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Income,795.45,2019-11-19 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,218.61,2022-11-09 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,305.07,2024-01-02 21:27:32.494381,Transaction for Water,Bill & Utilities,Water
Income,579.14,2019-11-25 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,104.86,2021-05-07 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,545.13,2021-12-31 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,688.97,2022-01-31 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,618.57,2022-05-13 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Expense,200.08,2019-03-29 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Income,972.17,2022-12-14 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,309.46,2019-11-27 21:27:32.494381,Transaction for Gym Membership,Health & Fitness,Gym Membership
Expense,50.86,2021-02-21 21:27:32.494381,Transaction for Books,Education,Books
Income,399.0,2022-11-11 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,210.47,2022-11-21 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,65.75,2020-12-22 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,850.28,2021-09-16 21:27:32.494381,Transaction for Restaurants,Food and Beverage,Restaurants
Income,413.71,2019-05-18 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,676.62,2021-11-04 21:27:32.494381,Transaction for Health Insurance,Insurance,Health Insurance
Income,789.47,2022-11-25 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,842.27,2020-08-25 21:27:32.494381,Transaction for Childcare,Family,Childcare
Expense,61.85,2020-08-10 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Expense,742.81,2023-05-07 21:27:32.494381,Transaction for Movies,Entertainment,Movies
Expense,651.97,2020-08-26 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Expense,833.43,2021-03-04 21:27:32.494381,Transaction for Childcare,Family,Childcare
Income,868.46,2020-11-21 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,733.63,2024-01-22 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,937.07,2020-09-16 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Income,591.06,2021-09-22 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,901.92,2022-06-03 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,420.11,2021-09-28 21:27:32.494381,Transaction for Groceries,Food and Beverage,Groceries
Expense,84.03,2022-10-15 21:27:32.494381,Transaction for Gym Membership,Health & Fitness,Gym Membership
Income,408.17,2019-10-08 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,240.93,2020-07-05 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,726.03,2021-12-02 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,87.78,2023-12-28 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,96.2,2022-02-17 21:27:32.494381,Transaction for Internet,Bill & Utilities,Internet
Income,175.87,2019-05-09 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,569.21,2021-09-19 21:27:32.494381,Transaction for Mutual Funds,Investment,Mutual Funds
Income,88.92,2022-04-17 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,282.68,2020-05-25 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Income,394.4,2020-09-09 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,284.25,2023-08-26 21:27:32.494381,Transaction for Books,Education,Books
Income,613.74,2020-05-29 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,962.05,2022-11-03 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Income,105.41,2023-03-27 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,384.75,2022-09-05 21:27:32.494381,Transaction for Commission,Salary,Commission
Income,558.51,2022-02-05 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,961.29,2020-09-23 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Expense,795.42,2020-12-15 21:27:32.494381,Transaction for Child Support,Family,Child Support
Income,143.42,2024-01-16 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,668.19,2022-01-16 21:27:32.494381,Transaction for Groceries,Food and Beverage,Groceries
Expense,901.9,2020-07-06 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Expense,626.74,2019-03-25 21:27:32.494381,Transaction for Health Insurance,Insurance,Health Insurance
Expense,510.34,2022-07-03 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Expense,246.89,2022-05-15 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Income,342.53,2022-07-16 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Income,919.93,2023-07-14 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,697.34,2021-03-14 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Expense,891.69,2019-05-12 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Income,948.95,2021-03-30 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,248.12,2020-06-08 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,459.34,2021-12-17 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Expense,417.06,2023-10-26 21:27:32.494381,Transaction for Events,Entertainment,Events
Expense,258.15,2019-02-27 21:27:32.494381,Transaction for Mutual Funds,Investment,Mutual Funds
Expense,183.6,2023-11-05 21:27:32.494381,Transaction for Restaurants,Food and Beverage,Restaurants
Income,499.69,2019-11-21 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,468.43,2019-05-12 21:27:32.494381,Transaction for Tuition,Education,Tuition
Expense,356.38,2020-10-09 21:27:32.494381,Transaction for Water,Bill & Utilities,Water
Income,255.92,2023-04-24 21:27:32.494381,Transaction for Rent,Other Income,Rent
Expense,950.59,2020-02-13 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Expense,947.9,2023-02-12 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Expense,260.95,2020-03-23 21:27:32.494381,Transaction for Vehicle Maintenance,Transportation,Vehicle Maintenance
Expense,471.22,2020-11-07 21:27:32.494381,Transaction for Mutual Funds,Investment,Mutual Funds
Income,516.61,2019-12-07 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,799.81,2023-02-03 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Expense,131.95,2024-01-19 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Income,962.84,2022-12-29 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,84.04,2020-08-21 21:27:32.494381,Transaction for Phone,Bill & Utilities,Phone
Income,836.87,2022-02-04 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,87.16,2021-09-09 21:27:32.494381,Transaction for Home Goods,Shopping,Home Goods
Expense,897.17,2019-08-11 21:27:32.494381,Transaction for Alimony,Family,Alimony
Income,784.33,2021-11-08 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,84.94,2023-07-14 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Expense,215.03,2019-11-26 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Income,485.64,2024-01-29 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,252.73,2021-01-23 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,456.05,2019-08-14 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Expense,690.41,2020-09-19 21:27:32.494381,Transaction for Health Insurance,Insurance,Health Insurance
Income,852.62,2019-03-31 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,390.68,2019-04-17 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,580.58,2021-03-08 21:27:32.494381,Transaction for Home Goods,Shopping,Home Goods
Income,236.54,2022-02-22 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Expense,831.65,2023-02-02 21:27:32.494381,Transaction for Health Insurance,Insurance,Health Insurance
Expense,434.06,2019-04-21 21:27:32.494381,Transaction for Movies,Entertainment,Movies
Income,333.23,2020-02-12 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Expense,511.45,2019-05-14 21:27:32.494381,Transaction for Electricity,Bill & Utilities,Electricity
Income,656.85,2020-10-16 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Expense,224.18,2021-09-22 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Expense,82.85,2022-10-19 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Expense,233.71,2023-12-10 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Expense,142.36,2023-06-27 21:27:32.494381,Transaction for Bonds,Investment,Bonds
Income,470.3,2023-07-07 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,51.62,2019-07-14 21:27:32.494381,Transaction for Medical Expenses,Health & Fitness,Medical Expenses
Income,36.81,2022-12-10 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,378.13,2019-05-13 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,416.91,2019-03-26 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Income,316.08,2021-11-24 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,948.17,2021-04-24 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Expense,532.79,2022-04-27 21:27:32.494381,Transaction for Concerts,Entertainment,Concerts
Expense,387.07,2021-08-06 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Income,814.31,2021-05-05 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,254.93,2023-06-12 21:27:32.494381,Transaction for Fast Food,Food and Beverage,Fast Food
Expense,839.08,2020-11-26 21:27:32.494381,Transaction for Fuel,Transportation,Fuel
Expense,44.02,2023-01-26 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Expense,90.44,2020-10-30 21:27:32.494381,Transaction for Online Payment,Outgoing Transfer,Online Payment
Income,202.75,2021-11-01 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,124.48,2019-04-29 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Expense,816.28,2019-10-29 21:27:32.494381,Transaction for Bonds,Investment,Bonds
Income,570.12,2019-08-08 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,272.31,2022-03-14 21:27:32.494381,Transaction for Gifts,Gifts & Donations,Gifts
Expense,844.49,2019-07-19 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Income,843.48,2022-11-26 21:27:32.494381,Transaction for Project A,Freelance Income,Project A
Expense,847.4,2023-02-06 21:27:32.494381,Transaction for Health Supplements,Health & Fitness,Health Supplements
Income,931.97,2022-11-16 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,726.2,2019-10-22 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Income,842.43,2022-07-04 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Expense,581.03,2021-10-05 21:27:32.494381,Transaction for Stocks,Investment,Stocks
Income,566.26,2019-11-20 21:27:32.494381,Transaction for Gifts,Other Income,Gifts
Income,591.94,2022-12-21 21:27:32.494381,Transaction for Project C,Freelance Income,Project C
Expense,823.84,2021-07-29 21:27:32.494381,Transaction for Movies,Entertainment,Movies
Income,512.29,2022-05-15 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
Expense,686.75,2022-05-03 21:27:32.494381,Transaction for Electricity,Bill & Utilities,Electricity
Income,958.07,2022-05-04 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,60.54,2019-07-20 21:27:32.494381,Transaction for Stock Dividends,Investment Income,Stock Dividends
Income,336.72,2019-12-28 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,87.96,2023-08-17 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Expense,348.75,2022-01-18 21:27:32.494381,Transaction for Clothing,Shopping,Clothing
Income,486.72,2022-07-08 21:27:32.494381,Transaction for Interest,Investment Income,Interest
Income,464.8,2021-04-12 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,807.5,2020-08-11 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,177.94,2021-04-11 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,13.13,2022-06-02 21:27:32.494381,Transaction for Project B,Freelance Income,Project B
Income,841.41,2019-11-09 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,883.95,2019-07-27 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Expense,795.28,2023-10-04 21:27:32.494381,Transaction for Car Insurance,Insurance,Car Insurance
Expense,292.62,2020-02-16 21:27:32.494381,Transaction for Home Insurance,Insurance,Home Insurance
Expense,598.36,2023-07-01 21:27:32.494381,Transaction for Charity,Gifts & Donations,Charity
Expense,678.71,2024-01-06 21:27:32.494381,Transaction for Home Goods,Shopping,Home Goods
Expense,375.42,2020-11-21 21:27:32.494381,Transaction for Bank Transfer,Outgoing Transfer,Bank Transfer
Expense,37.8,2022-07-14 21:27:32.494381,Transaction for Public Transport,Transportation,Public Transport
Income,975.65,2022-10-27 21:27:32.494381,Transaction for Rent,Other Income,Rent
Income,816.93,2020-11-21 21:27:32.494381,Transaction for Monthly Salary,Salary,Monthly Salary
Income,412.49,2019-07-16 21:27:32.494381,Transaction for Royalties,Other Income,Royalties
Income,531.75,2022-11-30 21:27:32.494381,Transaction for Real Estate Income,Investment Income,Real Estate Income
Income,307.14,2019-02-20 21:27:32.494381,Transaction for Year-end Bonus,Salary,Year-end Bonus
